M.E.T. [s], Sea Level Altitude [m], Radar Altitude [m], Latitude [deg], Longitude [deg], Surface Velocity [m/s], Orbital Velocity [m/s], Vertical Speed [m/s], Ground Speed [m/s], Apoapsis [m], Time to Apoapsis [s], Periapsis [m], Time to Periapsis [s], Inclination [deg], Mass [t], Max Thrust [kN], Current Thrust [kN], T.W.R., % Terminal Velocity, Trajectory Preferred Pitch [deg], Pitch Command [deg], Vessel Pitch [deg], Heading Command [deg], Vessel Heading [deg], dv Spent [m/s], Dynamic Pressure [kPa]
12.2599997259676, 608.77161000506, 541.066589355469, -0.0972081422805786, -74.5514907836914, 88.2268571459614, 213.533551103518, 85.8340212618045, 20.4083099712341, 968.959602171672, 8.83163114117809, -598041.327129438, 285.536567863522, 0.0972100346925773, 51.2927322387695, 943.749534606934, 943.709869384766, 1.87793915624893, NoAcc, 76.1968739535826, 76.1968739535826, 76.1208802133401, 90.1944247265524, 89.9863882785834, 211.640765466293, 0.0395022279116352
13.2799997031689, 700.213918590336, 632.488403320313, -0.0972081422805786, -74.5492553710938, 96.7500472658014, 220.784461996059, 93.4994721205646, 24.8680590137343, 1131.53419047047, 9.6277206287495, -597949.473601978, 286.507824996021, 0.0972084937228902, 50.8362083435059, 945.855018615723, 945.812194824219, 1.89958736057919, NoAcc, 75.1883965553251, 75.1883965553251, 75.060536680235, 90.1944228903092, 89.9549644640603, 230.525338176536, 0.0470382366466285
14.4199996776879, 811.692677772953, 743.93798828125, -0.0972086265683174, -74.5462188720703, 106.499916414789, 229.405136962328, 102.112910231077, 30.2520372949829, 1330.33281156537, 10.5245560933002, -597835.698323437, 287.619910658118, 0.0972103410247103, 50.3259735107422, 948.393257141113, 948.347145080566, 1.92468541672143, NoAcc, 74.100857247788, 74.100857247788, 73.9178301496592, 89.8055828920739, 90.0245128872989, 251.88591803974, 0.0563002435844006
15.5599996522069, 933.000934183015, 866.118835449219, -0.0972089916467667, -74.5425796508789, 116.460038941815, 238.510484315656, 110.745930039054, 36.0316478961749, 1547.0469694162, 11.4261159890499, -597710.034864754, 288.757308694083, 0.0972217473768325, 49.8157386779785, 951.095481872559, 951.046195983887, 1.95070158072037, NoAcc, 73.0126000751703, 73.0126000751703, 72.8297348864736, 89.8055822099858, 90.0690416923612, 273.142092480789, 0.0664085768472409
16.6799996271729, 1061.77252108068, 997.5546875, -0.0972088724374771, -74.5382995605469, 126.629279748417, 248.051107729095, 119.39882484515, 42.1769500462035, 1781.80278544733, 12.3326878942498, -597572.396255275, 289.920470977545, 0.0972115964908429, 49.3055038452148, 953.993049621582, 953.940650939941, 1.97773037042018, NoAcc, 71.9411992803611, 71.9411992803611, 71.7732510522148, 89.8055282785831, 89.9299336540168, 295.063392795146, 0.0773379190856346
17.819999601692, 1202.62508446246, 1139.70971679688, -0.0972097665071487, -74.5334167480469, 136.822377459321, 257.8249396559, 127.911215798723, 48.5704009301306, 2030.02656291658, 13.227681100282, -597424.787405519, 291.109381568312, 0.0972095937758203, 48.7952690124512, 957.059867858887, 957.004524230957, 2.00575035974145, NoAcc, 70.8850316258649, 70.8850316258649, 70.7128891312906, 90.1944741227373, 90.0489738834508, 317.282468652001, 0.0890583061084465
18.959999576211, 1353.36306206055, 1290.67358398438, -0.0972105041146278, -74.5277404785156, 147.403965328665, 268.133477245745, 136.597435831091, 55.3991833783231, 2300.83088459854, 14.1443822920963, -597262.130565948, 292.30385656378, 0.0975051920236394, 48.2939834594727, 960.285987854004, 960.227958679199, 2.03477337893076, NoAcc, 69.8427227086983, 69.8427227086983, 69.738606288842, 89.8050436974736, 90.1357283704347, 339.809383007261, 0.101530448215512
20.09999955073, 1513.98818203062, 1451.53845214844, -0.0972091183066368, -74.5212936401367, 158.191226067985, 278.833701429948, 145.267242031275, 62.6250141518487, 2589.50460594811, 15.0632516692694, -597084.406517523, 293.544419305004, 0.0982556216095682, 47.7837524414063, 963.660926818848, 963.60034942627, 2.06481005911826, NoAcc, 68.8132349278419, 68.8132349278419, 68.5754492052027, 90.1948356912811, 89.4374157587761, 362.654507234078, 0.11470709908937
21.239999525249, 1684.53125901043, 1622.91564941406, -0.0972159281373024, -74.5140609741211, 169.186374350651, 289.848835586156, 153.956944668459, 70.1518955857335, 2896.65599922847, 15.9882736131221, -596893.085484339, 294.813394790841, 0.0978798533326019, 47.2735176086426, 967.18187713623, 967.119018554688, 2.09588890034896, NoAcc, 67.7955307793956, 67.7955307793956, 67.6997275810678, 89.8053720839393, 90.8704628263996, 385.419548900334, 0.128541897788898
22.379999499768, 1864.99951512308, 1803.3154296875, -0.0972120240330696, -74.5059967041016, 180.389509037848, 301.115968358252, 162.706189364158, 77.8914046189343, 3223.09044601454, 16.9237940743217, -596689.708876022, 296.114648034689, 0.0983905808656598, 46.7632789611816, 970.829750061035, 970.764678955078, 2.12757317472266, NoAcc, 66.7886853062944, 66.7886853062944, 67.0284612988662, 89.8001840892898, 89.8234827621939, 408.931732983757, 0.142710800915837
